Sale_ID,Product_ID,Sale_Date,Quantity,Revenue
1,422,2024-02-18,43,13121.88
2,387,2024-09-03,5,1573.1
3,478,2023-03-25,25,5829.75
4,321,2023-03-15,16,1866.24
5,378,2024-10-02,2,1015.1
6,258,2023-07-28,23,8592.8
7,471,2024-07-03,35,20368.25
8,379,2024-01-11,39,22194.9
9,175,2024-07-24,47,7811.87
10,168,2023-12-27,32,9077.76
11,486,2024-02-24,4,803.84
12,453,2024-04-26,17,3609.61
13,205,2023-09-02,18,3696.84
14,180,2024-03-28,35,21544.25
15,9,2023-10-26,3,903.09
16,437,2024-07-25,22,8514.0
17,413,2024-02-04,13,8444.15
18,46,2023-09-04,22,14891.8
19,261,2023-01-31,15,6779.85
20,27,2023-06-15,11,3613.72
21,221,2024-01-08,46,17118.9
22,437,2024-01-19,11,4257.0
23,75,2023-04-27,41,5311.96
24,141,2024-08-04,44,9359.24
25,11,2023-01-26,5,3761.2
26,142,2023-02-24,18,9990.18
27,119,2023-12-23,49,25167.87
28,173,2023-11-01,2,1570.56
29,192,2024-03-28,25,7747.25
30,334,2024-11-07,50,31601.5
31,341,2024-03-03,30,19273.2
32,394,2023-06-20,48,28036.32
33,218,2024-05-17,43,21247.16
34,241,2023-06-18,45,10495.35
35,403,2023-09-29,2,783.0
36,272,2023-01-20,1,387.82
37,225,2024-08-21,32,10343.68
38,60,2023-11-16,2,1068.78
39,310,2024-06-13,35,16372.3
40,57,2023-12-05,2,195.84
41,97,2023-06-19,29,25075.72
42,439,2024-06-23,21,1589.91
43,81,2023-11-09,28,9008.44
44,196,2024-07-18,29,4852.28
45,434,2024-03-06,45,17068.05
46,206,2023-12-06,16,5664.48
47,211,2024-09-29,21,9318.33
48,167,2023-08-14,34,21945.3
49,172,2024-07-30,18,7190.46
50,341,2023-10-03,31,19915.64
51,113,2024-03-18,39,4453.8
52,203,2023-03-08,36,6746.4
53,110,2023-11-09,36,15372.72
54,429,2023-08-27,44,10191.28
55,342,2023-10-31,6,2828.82
56,461,2023-08-10,50,22503.5
57,150,2023-09-09,14,9208.5
58,466,2024-11-08,20,4603.4
59,357,2023-09-16,13,7281.56
60,129,2024-02-23,9,4573.8
61,299,2023-10-23,6,2876.34
62,187,2023-01-23,17,3283.55
63,412,2023-03-03,5,3924.9
64,267,2024-11-17,49,7902.23
65,347,2024-09-13,40,32099.6
66,217,2023-06-22,37,20761.81
67,102,2024-08-17,44,30021.64
68,122,2024-09-15,19,14528.54
69,155,2024-06-11,6,1098.9
70,260,2023-09-09,14,8832.74
71,292,2024-06-29,24,6003.84
72,191,2024-03-16,17,3507.1
73,322,2024-07-25,27,18287.91
74,432,2024-08-14,9,2093.22
75,202,2023-10-09,1,157.96
76,310,2024-02-25,49,22921.22
77,421,2023-09-29,35,12065.55
78,303,2023-03-19,41,4806.84
79,23,2023-11-10,6,662.64
80,340,2024-06-26,24,7421.76
81,70,2024-07-17,8,6857.36
82,183,2024-07-03,31,18350.14
83,308,2024-01-09,17,10903.97
84,347,2023-02-14,34,27284.66
85,314,2023-08-07,3,1871.94
86,98,2024-05-29,43,31161.67
87,158,2024-11-28,25,12972.25
88,418,2024-07-18,1,248.28
89,318,2023-10-14,30,15503.7
90,355,2023-04-10,25,10860.5
91,311,2023-09-19,28,9530.92
92,19,2024-02-01,7,4893.84
93,42,2023-03-19,4,1472.32
94,304,2023-09-09,36,29649.96
95,441,2024-07-18,2,447.86
96,267,2024-08-03,6,967.62
97,431,2023-04-11,2,303.22
98,293,2024-01-29,5,624.05
99,33,2024-08-02,5,572.35
100,463,2024-01-13,5,1888.65
101,423,2023-07-15,18,9379.26
102,119,2023-02-17,18,9245.34
103,302,2024-01-05,30,4621.2
104,307,2023-09-21,49,11001.97
105,464,2023-06-29,7,2702.28
106,161,2024-10-27,21,3884.58
107,98,2023-09-02,32,23190.08
108,369,2024-08-24,50,8067.0
109,47,2023-08-17,29,10967.22
110,117,2023-09-19,19,16427.78
111,457,2024-05-02,33,13712.82
112,446,2024-05-03,49,34756.19
113,403,2023-08-12,43,16834.5
114,458,2023-02-22,26,3217.76
115,364,2023-04-07,36,13718.16
116,186,2024-02-06,48,6740.16
117,375,2023-09-22,1,206.03
118,362,2023-05-06,3,1700.49
119,443,2024-07-18,19,3655.03
120,91,2024-05-28,12,2859.96
121,380,2024-03-04,4,1908.36
122,366,2023-02-13,30,19843.8
123,278,2023-09-07,12,8041.2
124,492,2024-02-06,41,14178.21
125,475,2024-02-01,22,12013.54
126,97,2024-01-25,42,36316.56
127,383,2023-01-08,15,2757.9
128,380,2024-08-08,15,7156.35
129,247,2023-08-10,26,18015.66
130,363,2024-11-24,47,3692.32
131,82,2024-02-11,33,13657.71
132,347,2024-02-11,23,18457.27
133,84,2023-09-20,29,19779.45
134,126,2023-06-02,43,12698.76
135,184,2024-10-31,45,10530.45
136,266,2024-01-30,25,4600.25
137,398,2023-09-23,42,31722.6
138,210,2024-01-09,2,1093.7
139,308,2024-08-06,49,31429.09
140,282,2023-04-09,35,21605.15
141,14,2024-08-06,35,12881.75
142,259,2023-12-18,9,3208.14
143,386,2023-02-19,32,10397.44
144,334,2023-07-26,50,31601.5
145,297,2023-10-26,2,394.16
146,103,2024-02-09,10,6030.7
147,266,2023-10-30,9,1656.09
148,59,2024-03-15,38,4886.04
149,178,2024-05-26,2,588.38
150,229,2024-10-12,1,606.25
151,483,2024-05-12,36,23525.64
152,253,2023-12-06,47,18036.72
153,261,2024-08-13,13,5875.87
154,114,2023-01-20,32,3474.88
155,325,2024-02-14,37,6009.17
156,410,2023-12-07,26,19305.52
157,1,2023-03-21,17,6171.51
158,452,2023-06-16,15,11138.4
159,278,2024-01-21,38,25463.8
160,310,2024-07-30,11,5145.58
161,400,2024-05-29,3,627.03
162,421,2024-09-25,44,15168.12
163,230,2023-02-17,48,32550.72
164,314,2023-12-16,16,9983.68
165,455,2023-11-17,4,462.6
166,265,2024-07-29,1,273.04
167,276,2023-04-06,15,4343.25
168,16,2024-07-09,14,4901.4
169,91,2024-02-09,30,7149.9
170,271,2023-10-20,1,135.98
171,464,2023-06-26,35,13511.4
172,152,2023-11-04,10,5078.4
173,346,2023-09-06,42,15089.34
174,76,2023-10-30,15,5524.65
175,499,2023-11-05,12,2239.8
176,314,2024-10-06,12,7487.76
177,114,2023-06-27,4,434.36
178,57,2023-08-14,28,2741.76
179,115,2023-08-04,43,12343.58
180,36,2023-11-03,29,21289.48
181,299,2024-06-04,12,5752.68
182,119,2023-05-12,33,16949.79
183,291,2023-04-25,16,6270.08
184,30,2023-04-10,24,16030.32
185,472,2023-10-29,36,12593.16
186,26,2024-11-20,9,6168.87
187,342,2024-03-28,1,471.47
188,134,2023-12-08,40,30746.8
189,27,2023-12-09,5,1642.6
190,264,2023-10-06,32,6427.2
191,284,2023-08-13,40,21186.0
192,114,2024-04-29,18,1954.62
193,361,2024-05-04,23,5159.36
194,369,2023-02-15,36,5808.24
195,386,2023-02-25,30,9747.6
196,443,2023-07-26,18,3462.66
197,117,2024-04-21,44,38043.28
198,375,2023-07-13,44,9065.32
199,4,2023-03-31,36,28303.56
200,118,2024-07-21,4,574.52
201,359,2023-10-27,23,3702.77
202,145,2023-11-21,45,6095.25
203,397,2023-06-14,35,20124.65
204,405,2024-06-11,49,37540.86
205,303,2023-11-15,26,3048.24
206,4,2024-06-04,16,12579.36
207,399,2023-08-15,28,12568.92
208,171,2024-01-09,20,5598.0
209,479,2023-07-10,2,399.76
210,20,2023-02-27,16,9679.04
211,133,2023-06-21,26,12831.78
212,182,2023-02-26,27,9232.38
213,69,2023-06-20,43,3811.95
214,76,2024-11-26,23,8471.13
215,400,2024-03-15,39,8151.39
216,244,2023-08-04,14,10899.14
217,120,2023-03-04,23,7019.14
218,383,2024-10-02,37,6802.82
219,126,2023-08-20,22,6497.04
220,86,2023-09-03,22,5670.5
221,466,2024-05-14,29,6674.93
222,27,2024-09-14,46,15111.92
223,49,2023-11-19,20,12473.8
224,442,2023-07-06,4,3157.92
225,173,2024-07-22,14,10993.92
226,230,2024-10-24,20,13562.8
227,379,2023-10-22,29,16503.9
228,119,2023-01-29,40,20545.2
229,408,2023-02-28,20,3410.2
230,291,2024-10-12,11,4310.68
231,352,2024-04-13,2,511.86
232,280,2023-09-28,10,2333.3
233,239,2024-02-04,9,900.36
234,273,2024-09-22,13,4821.57
235,215,2024-01-23,34,3306.16
236,350,2023-02-08,44,30982.16
237,25,2024-10-28,40,13540.8
238,426,2023-09-13,45,15525.9
239,419,2024-11-29,38,21071.38
240,379,2023-10-30,47,26747.7
241,496,2024-07-19,31,18961.77
242,460,2023-01-23,7,2358.16
243,289,2024-09-02,4,970.8
244,340,2023-08-27,46,14225.04
245,131,2024-10-11,9,6002.82
246,271,2024-09-01,41,5575.18
247,480,2024-01-04,36,18198.0
248,496,2024-10-03,5,3058.35
249,494,2023-04-29,37,8932.91
250,131,2024-12-01,7,4668.86
251,442,2024-06-29,6,4736.88
252,450,2024-03-02,40,23980.4
253,438,2024-03-24,44,17933.52
254,91,2024-10-08,44,10486.52
255,68,2023-04-16,42,30165.66
256,246,2024-07-18,41,23255.61
257,29,2024-01-30,32,4696.96
258,22,2023-01-22,18,8239.68
259,184,2023-06-02,36,8424.36
260,140,2024-02-24,32,17295.04
261,29,2023-03-03,31,4550.18
262,95,2023-08-13,21,11492.46
263,416,2024-10-03,34,12791.48
264,233,2023-08-08,49,7749.35
265,460,2024-05-08,38,12801.44
266,260,2023-07-07,27,17034.57
267,166,2024-01-06,14,4376.26
268,367,2024-03-25,45,14316.75
269,135,2023-03-15,49,29741.53
270,423,2024-06-21,36,18758.52
271,40,2023-02-23,21,15897.84
272,20,2023-07-23,17,10283.98
273,175,2023-07-31,41,6814.61
274,294,2023-12-04,22,12310.54
275,144,2024-04-06,23,7623.12
276,293,2024-03-01,12,1497.72
277,455,2023-02-04,15,1734.75
278,304,2024-07-30,31,25531.91
279,71,2023-03-07,3,341.46
280,448,2023-08-01,34,13231.1
281,113,2024-10-13,41,4682.2
282,61,2023-08-22,6,3117.9
283,145,2023-01-07,34,4605.3
284,208,2023-12-06,31,14449.72
285,106,2023-01-23,13,9337.12
286,42,2023-08-09,45,16563.6
287,204,2024-08-20,35,11748.45
288,97,2023-02-19,33,28534.44
289,32,2023-04-23,43,6223.82
290,244,2023-11-30,38,29583.38
291,105,2024-07-07,5,3714.7
292,261,2023-10-30,46,20791.54
293,2,2024-07-19,46,30078.94
294,257,2024-02-28,3,1760.97
295,304,2023-07-13,45,37062.45
296,94,2024-07-04,18,4721.4
297,290,2023-05-02,20,7481.6
298,55,2023-10-18,11,916.19
299,354,2023-06-20,47,27914.71
300,214,2024-07-29,17,12221.3
301,28,2024-06-21,7,973.7
302,99,2023-03-20,48,22918.08
303,450,2023-10-10,22,13189.22
304,195,2024-08-02,39,18206.76
305,467,2023-06-13,21,12023.76
306,20,2023-03-10,49,29642.06
307,56,2024-10-10,32,10253.76
308,360,2024-03-29,50,15968.5
309,215,2024-02-13,28,2722.72
310,365,2023-07-11,31,17493.61
311,80,2024-04-29,44,26560.6
312,474,2024-08-22,46,9529.36
313,165,2024-02-17,41,12474.66
314,36,2024-11-20,47,34503.64
315,194,2023-05-07,32,11002.24
316,312,2024-07-15,15,5919.3
317,343,2023-10-04,11,2815.45
318,354,2024-05-03,34,20193.62
319,118,2023-10-14,50,7181.5
320,73,2024-04-06,46,16115.64
321,35,2024-05-20,43,4308.6
322,62,2023-05-03,29,12992.58
323,455,2023-01-07,6,693.9
324,111,2023-05-22,22,18254.5
325,268,2024-08-20,50,12232.5
326,231,2023-02-02,28,9798.04
327,126,2023-11-04,50,14766.0
328,78,2024-09-13,4,1778.68
329,342,2024-06-26,3,1414.41
330,443,2024-06-14,38,7310.06
331,107,2023-10-23,16,10310.56
332,255,2023-06-15,28,6444.2
333,291,2024-11-25,43,16850.84
334,418,2023-05-29,50,12414.0
335,403,2024-10-02,38,14877.0
336,311,2023-12-12,40,13615.6
337,263,2024-04-05,47,5837.4
338,384,2024-04-17,8,5544.64
339,28,2024-09-13,21,2921.1
340,111,2024-09-26,16,13276.0
341,449,2024-05-02,7,965.51
342,89,2023-09-28,11,4712.29
343,1,2023-03-30,22,7986.66
344,192,2023-08-15,11,3408.79
345,330,2024-10-17,14,7802.9
346,3,2023-01-28,40,11275.2
347,195,2024-11-01,40,18673.6
348,327,2023-04-26,14,3527.44
349,64,2024-04-03,35,10818.5
350,150,2024-08-16,13,8550.75
351,363,2023-10-21,40,3142.4
352,135,2024-08-15,19,11532.43
353,132,2024-05-05,16,6106.08
354,352,2023-12-31,2,511.86
355,319,2024-11-14,11,9197.43
356,275,2023-09-02,21,3517.29
357,474,2024-08-20,15,3107.4
358,112,2024-02-12,34,18294.72
359,476,2023-01-08,3,1568.58
360,498,2023-02-07,22,3161.4
361,431,2024-07-07,14,2122.54
362,437,2023-09-26,28,10836.0
363,281,2023-11-30,32,6414.4
364,248,2023-02-16,34,16044.6
365,336,2024-03-27,8,4955.92
366,369,2024-08-11,44,7098.96
367,164,2023-02-28,48,24871.68
368,487,2024-03-22,31,5233.73
369,396,2023-02-28,28,10759.28
370,65,2024-06-19,16,4661.12
371,259,2024-06-21,43,15327.78
372,331,2024-01-18,18,8349.84
373,368,2024-08-13,2,1153.82
374,454,2023-04-22,21,4916.94
375,375,2024-01-13,36,7417.08
376,9,2023-05-15,20,6020.6
377,440,2024-03-28,23,11846.61
378,38,2023-11-20,50,6694.5
379,147,2024-11-25,41,20061.71
380,500,2023-10-01,28,2255.68
381,394,2023-03-18,33,19274.97
382,210,2024-07-25,1,546.85
383,338,2024-08-03,47,13535.53
384,293,2024-09-28,44,5491.64
385,4,2023-06-02,23,18082.83
386,350,2024-06-09,28,19715.92
387,49,2023-11-29,10,6236.9
388,483,2023-02-20,10,6534.9
389,189,2024-07-16,14,2780.12
390,494,2023-10-23,32,7725.76
391,21,2023-02-06,32,5059.52
392,262,2024-10-16,33,8514.99
393,342,2024-03-05,24,11315.28
394,61,2023-03-10,26,13510.9
395,124,2023-11-23,36,13943.88
396,349,2024-06-08,2,344.3
397,135,2023-03-06,15,9104.55
398,469,2024-09-24,13,5052.32
399,386,2023-01-17,9,2924.28
400,299,2023-09-20,28,13422.92
401,391,2023-01-16,15,6415.95
402,8,2024-01-05,20,2601.0
403,197,2023-11-12,20,4554.0
404,461,2023-09-23,49,22053.43
405,84,2024-05-20,26,17733.3
406,56,2023-08-09,8,2563.44
407,163,2024-10-29,40,12073.6
408,23,2024-01-07,9,993.96
409,96,2023-07-16,28,3050.6
410,384,2023-08-28,31,21485.48
411,44,2024-07-25,33,18963.45
412,67,2023-02-15,4,927.72
413,311,2024-02-28,27,9190.53
414,293,2024-06-28,41,5117.21
415,16,2023-09-04,44,15404.4
416,104,2023-11-19,33,6484.83
417,346,2023-09-27,39,14011.53
418,199,2023-05-16,19,2956.4
419,318,2024-09-10,20,10335.8
420,96,2023-07-25,15,1634.25
421,124,2024-08-30,19,7359.27
422,281,2024-08-13,32,6414.4
423,482,2023-08-05,39,5117.58
424,416,2023-09-28,48,18058.56
425,169,2024-07-31,33,12789.81
426,246,2024-07-07,1,567.21
427,170,2024-10-29,41,22123.6
428,29,2024-09-12,6,880.68
429,162,2024-02-15,35,2871.05
430,340,2023-10-17,41,12678.84
431,427,2023-05-15,34,20712.12
432,49,2024-08-08,50,31184.5
433,16,2023-05-09,25,8752.5
434,121,2024-03-19,45,38410.2
435,393,2023-03-11,8,781.68
436,216,2023-06-29,39,11755.77
437,233,2023-09-07,37,5851.55
438,360,2024-02-03,50,15968.5
439,34,2024-08-27,28,13950.72
440,308,2023-07-13,21,13469.61
441,379,2024-01-22,27,15365.7
442,162,2024-05-18,4,328.12
443,340,2023-11-05,50,15462.0
444,311,2023-06-01,18,6127.02
445,479,2023-10-03,37,7395.56
446,216,2023-02-22,22,6631.46
447,412,2023-07-22,21,16484.58
448,269,2023-11-13,33,6633.33
449,163,2023-04-15,32,9658.88
450,409,2024-02-01,37,22774.24
451,430,2024-07-04,40,16550.0
452,252,2023-02-11,6,3719.04
453,30,2024-02-08,40,26717.2
454,39,2024-09-18,50,6016.0
455,95,2023-12-12,4,2189.04
456,420,2023-03-28,28,1889.44
457,152,2024-02-25,16,8125.44
458,266,2024-09-28,40,7360.4
459,171,2023-03-27,16,4478.4
460,109,2023-01-31,26,11297.52
461,153,2024-05-30,15,11992.95
462,254,2024-01-23,9,1596.6
463,65,2023-09-04,25,7283.0
464,292,2023-04-09,25,6254.0
465,423,2024-06-19,34,17716.38
466,336,2024-01-02,6,3716.94
