order_id,product_id,order_date,quantity,delivery_date,fulfilment_days
1,363,2023-09-04,115,2023-09-06,2
2,19,2023-09-16,153,2023-09-25,9
3,76,2024-02-19,123,2024-02-29,10
4,253,2023-09-10,126,2023-09-24,14
5,437,2023-12-12,130,2023-12-19,7
6,308,2023-09-21,106,2023-09-28,7
7,413,2024-10-09,43,2024-10-21,12
8,363,2024-08-08,74,2024-08-16,8
9,31,2024-06-05,100,2024-06-11,6
10,48,2023-10-30,3,2023-11-12,13
11,133,2024-08-13,162,2024-08-21,8
12,9,2024-11-15,91,2024-11-27,12
13,392,2023-05-24,200,2023-06-05,12
14,113,2023-11-05,21,2023-11-11,6
15,444,2024-03-01,8,2024-03-08,7
16,115,2024-06-25,176,2024-07-01,6
17,58,2024-09-09,180,2024-09-22,13
18,317,2024-03-28,48,2024-04-08,11
19,77,2023-06-04,35,2023-06-18,14
20,418,2024-09-25,70,2024-09-29,4
21,445,2023-03-17,27,2023-03-28,11
22,308,2024-08-20,185,2024-08-24,4
23,291,2023-10-18,79,2023-11-02,15
24,27,2023-06-14,118,2023-06-29,15
25,336,2024-10-04,190,2024-10-11,7
26,79,2024-10-08,117,2024-10-11,3
27,27,2024-09-20,86,2024-09-24,4
28,247,2023-11-06,177,2023-11-11,5
29,125,2024-02-14,50,2024-02-16,2
30,247,2023-07-04,200,2023-07-09,5
31,61,2023-02-04,23,2023-02-07,3
32,169,2023-08-26,182,2023-09-06,11
33,334,2024-05-07,130,2024-05-10,3
34,425,2023-04-24,37,2023-05-03,9
35,153,2024-10-02,44,2024-10-17,15
36,288,2024-09-30,38,2024-10-15,15
37,214,2023-08-02,34,2023-08-06,4
38,375,2024-11-30,179,2024-12-14,14
39,188,2023-04-27,125,2023-05-05,8
40,336,2024-04-05,191,2024-04-19,14
41,225,2024-10-17,25,2024-10-23,6
42,106,2024-04-16,58,2024-04-23,7
43,179,2023-12-02,187,2023-12-08,6
44,247,2023-11-06,93,2023-11-10,4
45,271,2024-08-27,181,2024-08-29,2
46,85,2023-06-14,4,2023-06-23,9
