sale_id,product_id,sale_date,quantity,revenue,year,month,unit_price
1,422,2024-02-18,43,13121.88,2024,2,305.15999999999997
2,387,2024-09-03,5,1573.1,2024,9,314.62
3,478,2023-03-25,25,5829.75,2023,3,233.19
4,321,2023-03-15,16,1866.24,2023,3,116.64
5,378,2024-10-02,2,1015.1,2024,10,507.55
6,258,2023-07-28,23,8592.8,2023,7,373.59999999999997
7,471,2024-07-03,35,20368.25,2024,7,581.95
8,379,2024-01-11,39,22194.9,2024,1,569.1
9,175,2024-07-24,47,7811.87,2024,7,166.21
10,168,2023-12-27,32,9077.76,2023,12,283.68
11,486,2024-02-24,4,803.84,2024,2,200.96
12,453,2024-04-26,17,3609.61,2024,4,212.33
13,205,2023-09-02,18,3696.84,2023,9,205.38
14,180,2024-03-28,35,21544.25,2024,3,615.55
15,9,2023-10-26,3,903.09,2023,10,301.03000000000003
16,437,2024-07-25,22,8514.0,2024,7,387.0
17,413,2024-02-04,13,8444.15,2024,2,649.55
18,46,2023-09-04,22,14891.8,2023,9,676.9
19,261,2023-01-31,15,6779.85,2023,1,451.99
20,27,2023-06-15,11,3613.72,2023,6,328.52
21,221,2024-01-08,46,17118.9,2024,1,372.15000000000003
22,437,2024-01-19,11,4257.0,2024,1,387.0
23,75,2023-04-27,41,5311.96,2023,4,129.56
24,141,2024-08-04,44,9359.24,2024,8,212.71
25,11,2023-01-26,5,3761.2,2023,1,752.24
26,142,2023-02-24,18,9990.18,2023,2,555.01
27,119,2023-12-23,49,25167.87,2023,12,513.63
28,173,2023-11-01,2,1570.56,2023,11,785.28
29,192,2024-03-28,25,7747.25,2024,3,309.89
30,334,2024-11-07,50,31601.5,2024,11,632.03
31,341,2024-03-03,30,19273.2,2024,3,642.44
32,394,2023-06-20,48,28036.32,2023,6,584.09
33,218,2024-05-17,43,21247.16,2024,5,494.12
34,241,2023-06-18,45,10495.35,2023,6,233.23000000000002
35,403,2023-09-29,2,783.0,2023,9,391.5
36,272,2023-01-20,1,387.82,2023,1,387.82
37,225,2024-08-21,32,10343.68,2024,8,323.24
38,60,2023-11-16,2,1068.78,2023,11,534.39
39,310,2024-06-13,35,16372.3,2024,6,467.78
40,57,2023-12-05,2,195.84,2023,12,97.92
41,97,2023-06-19,29,25075.72,2023,6,864.6800000000001
42,439,2024-06-23,21,1589.91,2024,6,75.71000000000001
